model,seed,top_k,mean_ic,median_year_ic,mean_spread,positive_alpha_years,years,mean_alpha_vs_0050,mean_alpha_vs_equal_weight,median_alpha_vs_0050,mean_turnover,mean_active_sharpe,mean_best_epoch,mean_valid_ic,run,clip_q,hidden,lr
mlp_rank,123,3,0.0359166776582961,0.0263703775601153,0.0047069811593089,3,9,-0.0086758652518761,0.0012026704299897,-0.1004356769904749,0.857601236664824,-0.3466731977868474,15.22222222222222,0.0562731504943229,v3_mlp_rank_seed123_20260828_222151,0.01,"[1024, 512, 256]",0.001
mlp_rank,123,5,0.0359166776582961,0.0263703775601153,0.0047069811593089,3,9,-0.015235324375325,-0.0053567886934591,-0.0623162299082076,0.8189611213114586,-0.2063398927168046,15.22222222222222,0.0562731504943229,v3_mlp_rank_seed123_20260828_222151,0.01,"[1024, 512, 256]",0.001
mlp_rank,123,10,0.0359166776582961,0.0263703775601153,0.0047069811593089,3,9,-0.1267605095800271,-0.1168819738981612,-0.0453944740538647,0.7129073154108734,-0.6385586397207776,15.22222222222222,0.0562731504943229,v3_mlp_rank_seed123_20260828_222151,0.01,"[1024, 512, 256]",0.001
mlp_rank,1,3,0.0504853864044598,0.0509938934565584,0.0061491660936921,3,9,-0.0419139656593528,-0.0320354299774869,-0.1336311343739951,0.8014725402605981,-0.3365764291683225,14.0,0.0643808732768392,v3_mlp_rank_seed1_20260828_220645,0.01,"[1024, 512, 256]",0.001
mlp_rank,1,5,0.0504853864044598,0.0509938934565584,0.0061491660936921,3,9,-0.0311484202049262,-0.0212698845230604,-0.1026997958896506,0.7524347227428523,-0.29933258459198,14.0,0.0643808732768392,v3_mlp_rank_seed1_20260828_220645,0.01,"[1024, 512, 256]",0.001
mlp_rank,1,10,0.0504853864044598,0.0509938934565584,0.0061491660936921,3,9,-0.0649716205236274,-0.0550930848417616,-0.1094449123165346,0.6468410246836955,-0.4588439378921128,14.0,0.0643808732768392,v3_mlp_rank_seed1_20260828_220645,0.01,"[1024, 512, 256]",0.001
mlp_rank,2026,3,0.0395019210286728,0.0392895342442218,0.0049958355084654,4,9,-0.0101792818835112,-0.0003007462016454,-0.1320569200675178,0.8279695638433828,-0.1388787451770743,14.0,0.0571773469173169,v3_mlp_rank_seed2026_20260828_223616,0.01,"[1024, 512, 256]",0.001
mlp_rank,2026,5,0.0395019210286728,0.0392895342442218,0.0049958355084654,4,9,-0.0097499500104116,0.0001285856714542,-0.0297216601583972,0.7731891447867173,-0.0561044431548306,14.0,0.0571773469173169,v3_mlp_rank_seed2026_20260828_223616,0.01,"[1024, 512, 256]",0.001
mlp_rank,2026,10,0.0395019210286728,0.0392895342442218,0.0049958355084654,4,9,-0.013029685828088,-0.0031511501462222,-0.0288920165765769,0.6829030371061253,-0.0689214669140639,14.0,0.0571773469173169,v3_mlp_rank_seed2026_20260828_223616,0.01,"[1024, 512, 256]",0.001
mlp_rank,3407,3,0.040540416165524,0.0323713612498056,0.0047331876058406,4,9,-0.0689518315700816,-0.0590732958882158,-0.0767032005667328,0.8425360428618021,-0.2626324794183129,19.666666666666668,0.0629696627267525,v3_mlp_rank_seed3407_20260828_223616,0.01,"[1024, 512, 256]",0.001
mlp_rank,3407,5,0.040540416165524,0.0323713612498056,0.0047331876058406,4,9,-0.1014140164283145,-0.0915354807464487,-0.051581144090249,0.7916883396078717,-0.3484209641937253,19.666666666666668,0.0629696627267525,v3_mlp_rank_seed3407_20260828_223616,0.01,"[1024, 512, 256]",0.001
