horizon,feature_set,train_window,execution_delay,slippage_bps,entry_k,exit_k,periods,start,end,total_return,cagr,gross_total_return,market_total_return,market_cagr,ew_net_total_return,ew_net_cagr,active_sharpe,strategy_sharpe,rebalance_max_drawdown,mean_turnover,cost_sum,positive_alpha_years,years,worst_year,worst_year_alpha
10,all,expanding,1,0,5,10,208,2018-01-03,2026-07-31,11.538033429025393,0.3431207978001034,25.492760469684573,5.388176246555,0.24151526248992838,5.479567142054408,0.24357426530635662,0.42014624414932716,1.0711589966865178,-0.35331433233377496,0.6150336259853586,0.7465729160989845,6,9,2024,-0.5327755546999274
10,all,expanding,1,0,10,15,208,2018-01-03,2026-07-31,13.585369595982998,0.36702978308629985,27.34907833539228,5.388176246555,0.24151526248992838,5.479567142054408,0.24357426530635662,0.5666913254522247,1.364742399953439,-0.2563429914806167,0.5464366290085622,0.6634040901776185,7,9,2024,-0.38871445972835006
10,all,expanding,1,0,10,20,208,2018-01-03,2026-07-31,16.510991344104568,0.3964959557547625,28.810474564157122,5.388176246555,0.24151526248992838,5.479567142054408,0.24357426530635662,0.6812948882869534,1.4150936897384085,-0.2756174528384536,0.4378253528268854,0.5312458893197542,7,9,2024,-0.32982591015573304
10,all,expanding,1,0,15,25,208,2018-01-03,2026-07-31,13.731662063991585,0.36862226145085586,22.12358936142161,5.388176246555,0.24151526248992838,5.479567142054408,0.24357426530635662,0.6419550042541257,1.4918065347755793,-0.23834466356416995,0.37130663259833874,0.4503059105456587,7,9,2024,-0.29517174100725985
10,all,expanding,1,5,5,10,208,2018-01-03,2026-07-31,10.026149207524952,0.32313762628218967,25.492760469684573,5.388176246555,0.24151526248992838,5.449788007770647,0.24290618577395984,0.3637452638282643,1.0253279085213478,-0.35664623646475746,0.6150336259853586,0.8744999103039391,6,9,2024,-0.5472406970415246
10,all,expanding,1,5,10,15,208,2018-01-03,2026-07-31,12.012679554814072,0.3489553926648943,27.34907833539228,5.388176246555,0.24151526248992838,5.449788007770647,0.24290618577395984,0.4968287620950516,1.312544672243643,-0.2582257348236402,0.5464366290085622,0.7770629090113994,7,9,2024,-0.40497030498529285
10,all,expanding,1,5,10,20,208,2018-01-03,2026-07-31,14.982092001441858,0.38169157332935155,28.810474564157122,5.388176246555,0.24151526248992838,5.449788007770647,0.24290618577395984,0.6258759555751218,1.3741626492360854,-0.27910770400667906,0.4378253528268854,0.6223135627077463,6,9,2024,-0.3440562136318168
10,all,expanding,1,5,15,25,208,2018-01-03,2026-07-31,12.633951441166094,0.3563146640316692,22.12358936142161,5.388176246555,0.24151526248992838,5.449788007770647,0.24290618577395984,0.5857065165964795,1.4520888580516973,-0.2390674000023426,0.37130663259833874,0.5275376901261132,7,9,2024,-0.30784484323280115
10,all,expanding,1,10,5,10,208,2018-01-03,2026-07-31,8.695697256303372,0.30343802184974544,25.492760469684573,5.388176246555,0.24151526248992838,5.420143536109551,0.24223841554046266,0.3072898487916729,0.9794425003480817,-0.3599638872060146,0.6150336259853586,1.0024269045088938,6,9,2024,-0.5615028301865387
10,all,expanding,1,10,10,15,208,2018-01-03,2026-07-31,10.608765189125544,0.33110924726626867,27.34907833539228,5.388176246555,0.24151526248992838,5.420143536109551,0.24223841554046266,0.4269351266002437,1.2602726325810185,-0.2601047817951143,0.5464366290085622,0.8907217278451802,5,9,2024,-0.4210018050098254
