========================================================================================================================
LOBSTER V5.3 REBALANCE PHASE AUDIT
========================================================================================================================

FROZEN CONFIGURATION
all features / expanding / Top10 -> Exit15

PRIMARY TEST: T+1 / 10 BPS
 horizon  phase     cagr  market_cagr  alpha_cagr  active_sharpe  rebalance_max_drawdown  mean_turnover  positive_alpha_years  worst_year  worst_year_alpha
      10      0 0.331109     0.241515    0.089594       0.426935               -0.260105       0.546437                     5        2024         -0.421002
      10      1 0.341873     0.243255    0.098618       0.487504               -0.244480       0.530488                     6        2024         -0.430761
      10      2 0.279760     0.241325    0.038434       0.226410               -0.309891       0.549998                     5        2024         -0.508145
      10      3 0.308079     0.245376    0.062703       0.324813               -0.333869       0.545865                     6        2024         -0.515714
      10      4 0.226463     0.244156   -0.017693       0.011665               -0.374178       0.553427                     4        2024         -0.534448
      10      5 0.232652     0.244927   -0.012275       0.000733               -0.297609       0.568784                     6        2024         -0.683558
      10      6 0.241899     0.245672   -0.003773       0.031407               -0.275355       0.571077                     6        2024         -0.514223
      10      7 0.230836     0.246055   -0.015219      -0.010655               -0.293676       0.534223                     3        2024         -0.458152
      10      8 0.239297     0.245822   -0.006525       0.023415               -0.333869       0.538084                     5        2024         -0.546829
      10      9 0.305170     0.248443    0.056728       0.311543               -0.288192       0.536282                     7        2024         -0.438841
      20      0 0.480590     0.251817    0.228773       0.960031               -0.270877       0.524134                     8        2024         -0.486946
      20      1 0.395801     0.254635    0.141166       0.654309               -0.315499       0.542825                     7        2024         -0.421705
      20      2 0.365724     0.253956    0.111768       0.506160               -0.250973       0.567551                     8        2024         -0.541324
      20      3 0.391620     0.250662    0.140958       0.567526               -0.220838       0.550084                     7        2024         -0.499172
      20      4 0.379553     0.250066    0.129487       0.563790               -0.273744       0.538488                     7        2024         -0.562881
      20      5 0.439122     0.249304    0.189818       0.767244               -0.229098       0.534944                     7        2024         -0.349384
      20      6 0.430171     0.251573    0.178598       0.726581               -0.191059       0.549928                     8        2024         -0.418524
      20      7 0.433282     0.249672    0.183610       0.745639               -0.230197       0.560041                     8        2024         -0.440764
      20      8 0.414963     0.247823    0.167139       0.685657               -0.260941       0.541884                     7        2024         -0.507154
      20      9 0.404174     0.247719    0.156455       0.603272               -0.207458       0.564202                     7        2024         -0.505631
      20     10 0.444151     0.244268    0.199883       0.774265               -0.232531       0.564414                     6        2024         -0.423058
      20     11 0.484913     0.238751    0.246162       0.872819               -0.197721       0.556799                     6        2024         -0.323396
      20     12 0.380637     0.237903    0.142735       0.584924               -0.251738       0.569702                     7        2024         -0.345591
      20     13 0.422491     0.243154    0.179337       0.712560               -0.262653       0.558728                     7        2024         -0.417176
      20     14 0.395433     0.241302    0.154131       0.667304               -0.302089       0.564552                     7        2024         -0.443405
      20     15 0.390132     0.238985    0.151148       0.698618               -0.230841       0.537856                     7        2024         -0.401943
      20     16 0.325714     0.238274    0.087440       0.452156               -0.271278       0.579872                     7        2024         -0.499891
      20     17 0.336767     0.233644    0.103123       0.536160               -0.333797       0.560320                     7        2024         -0.435970
      20     18 0.330769     0.231308    0.099460       0.512468               -0.302639       0.568407                     8        2024         -0.560372
      20     19 0.391691     0.236233    0.155458       0.724269               -0.279761       0.540181                     8        2024         -0.455565

PRIMARY PHASE DISTRIBUTION
 horizon  phases  cagr_min  cagr_median  cagr_max  market_cagr_median  alpha_cagr_min  alpha_cagr_median  alpha_cagr_max  beat_market_fraction  active_sharpe_min  active_sharpe_median  active_sharpe_max  positive_sharpe_fraction  worst_sharpe_phase  worst_alpha_phase  rebalance_mdd_worst  positive_alpha_years_min  worst_year_alpha_min  phase0_cagr  phase0_active_sharpe
      10      10  0.226463     0.260829  0.341873            0.245152       -0.017693           0.017331        0.098618                   0.5          -0.010655              0.128908           0.487504                       0.9                   7                  4            -0.374178                         3             -0.683558     0.331109              0.426935
      20      20  0.325714     0.395617  0.484913            0.245994        0.087440           0.154795        0.246162                   1.0           0.452156              0.676481           0.960031                       1.0                  16                 16            -0.333797                         6             -0.562881     0.480590              0.960031

FULL DELAY / COST / PHASE SUMMARY
 horizon  execution_delay  slippage_bps  phases  cagr_min  cagr_median  cagr_max  market_cagr_median  alpha_cagr_min  alpha_cagr_median  alpha_cagr_max  beat_market_fraction  active_sharpe_min  active_sharpe_median  active_sharpe_max  positive_sharpe_fraction  worst_sharpe_phase  worst_alpha_phase  rebalance_mdd_worst  positive_alpha_years_min  worst_year_alpha_min  phase0_cagr  phase0_active_sharpe
      10                1             0      10  0.259990     0.295713  0.376986            0.245152        0.015833           0.052215        0.133732                  1.00           0.146056              0.283145           0.627391                       1.0                   7                  4            -0.371007                         4             -0.657899     0.367030              0.566691
      10                1            10      10  0.226463     0.260829  0.341873            0.245152       -0.017693           0.017331        0.098618                  0.50          -0.010655              0.128908           0.487504                       0.9                   7                  4            -0.374178                         3             -0.683558     0.331109              0.426935
      10                1            20      10  0.193790     0.226843  0.307615            0.245152       -0.050366          -0.016656        0.064360                  0.50          -0.167737             -0.021339           0.347516                       0.5                   5                  4            -0.377338                         3             -0.708485     0.296091              0.287072
      10                1            30      10  0.161949     0.194384  0.274192            0.245152       -0.082207          -0.049190        0.030938                  0.20          -0.336354             -0.161655           0.207461                       0.4                   5                  4            -0.381520                         3             -0.732700     0.261953              0.147137
      10                1            50      10  0.100683     0.132464  0.209777            0.245152       -0.143473          -0.111110       -0.033477                  0.00          -0.673798             -0.441675          -0.072711                       0.0                   5                  4            -0.495838                         2             -0.779070     0.196234             -0.132807
      10                1           100      10 -0.041035    -0.009211  0.062056            0.245152       -0.285963          -0.252785       -0.181199                  0.00          -1.515975             -1.137207          -0.771867                       0.0                   5                  5            -0.713386                         1             -0.883836     0.045924             -0.831468
      10                2             0      10  0.245368     0.287221  0.354959            0.245524       -0.000746           0.041505        0.113634                  0.80           0.046569              0.244526           0.565737                       1.0                   5                  8            -0.345202                         4             -0.584373     0.346850              0.492422
      10                2            10      10  0.211354     0.252517  0.320414            0.245524       -0.034318           0.006801        0.079089                  0.60          -0.127118              0.098855           0.419239                       0.6                   5                  5            -0.368362                         4             -0.611785     0.311472              0.349108
      10                2            20      10  0.178227     0.218708  0.286710            0.245524       -0.067445          -0.027008        0.045385                  0.30          -0.300986             -0.046627           0.272656                       0.4                   5                  5            -0.409194                         3             -0.638415     0.276982              0.205830
      10                2            30      10  0.145967     0.185772  0.253829            0.245524       -0.099705          -0.059944        0.012504                  0.20          -0.474975             -0.191885           0.126029                       0.3                   5                  5            -0.467798                         3             -0.664283     0.243358              0.062625
      10                2            50      10  0.083958     0.122433  0.190456            0.245524       -0.161714          -0.123283       -0.050869                  0.00          -0.823065             -0.481597          -0.167196                       0.0                   5                  5            -0.568309                         2             -0.713816     0.178630             -0.223414
      10                2           100      10 -0.057362    -0.022088  0.045120            0.245524       -0.303034          -0.267803       -0.196205                  0.00          -1.691052             -1.202074          -0.898223                       0.0                   5                  5            -0.773278                         1             -0.825711     0.030580             -0.934645
      10                3             0      10  0.217362     0.281060  0.357883            0.245747       -0.028809           0.036071        0.112506                  0.60          -0.099262              0.230413           0.515750                       0.7                   4                  7            -0.331853                         3             -0.562830     0.345366              0.508484
      10                3            10      10  0.185008     0.246495  0.323237            0.245747       -0.060664           0.001506        0.077860                  0.50          -0.265272              0.082199           0.387376                       0.6                   4                  4            -0.359906                         3             -0.590343     0.310024              0.364454
      10                3            20      10  0.153476     0.212823  0.289435            0.245747       -0.092196          -0.032166        0.044059                  0.30          -0.431303             -0.065781           0.258883                       0.4                   4                  4            -0.386810                         2             -0.617098     0.275570              0.220495
      10                3            30      10  0.122746     0.180020  0.256459            0.245747       -0.122926          -0.064969        0.011082                  0.20          -0.597305             -0.213494           0.130299                       0.2                   4                  4            -0.412612                         2             -0.643116     0.241982              0.076645
      10                3            50      10  0.063615     0.116940  0.192905            0.245747       -0.182057          -0.128049       -0.052472                  0.00          -0.929013             -0.507977          -0.127035                       0.0                   4                  4            -0.512777                         2             -0.693016     0.177321             -0.210577
      10                3           100      10 -0.071483    -0.026980  0.047165            0.245747       -0.317155          -0.271969       -0.198212                  0.00          -1.754166             -1.237105          -0.770049                       0.0                   4                  4            -0.786667                         0             -0.806163     0.029426             -0.924125
      10                5             0      10  0.182850     0.262158  0.332969            0.245747       -0.064932           0.016294        0.088042                  0.50          -0.268866              0.138091           0.437904                       0.7                   5                  5            -0.344754                         4             -0.628556     0.291040              0.279163
      10                5            10      10  0.150471     0.228893  0.298951            0.245747       -0.097310          -0.016970        0.054023                  0.50          -0.436048             -0.014695           0.300036                       0.5                   5                  5            -0.385885                         3             -0.655630     0.257124              0.135633
      10                5            20      10  0.118940     0.196467  0.265761            0.245747       -0.128842          -0.049396        0.020834                  0.10          -0.603121             -0.167321           0.162090                       0.3                   5                  5            -0.450598                         2             -0.681908     0.224060             -0.007960
