seed,run,horizon,feature_set,train_window,years,mean_test_ic,median_test_ic,std_test_ic,mean_test_spread,mean_best_epoch,mean_valid_ic
1,v5_4_repaired_h20_seed1_20260829_155441,20,all,expanding,9,0.048699418480962105,0.06008452239472202,0.051220342594501575,0.020128643384060053,19.11111111111111,0.08259385427204577
7,v5_4_repaired_h20_seed7_20260829_155441,20,all,expanding,9,0.0458035199426613,0.053149410909374084,0.030620028007672363,0.019871674535178293,15.222222222222221,0.08704461044447272
42,v5_4_repaired_h20_seed42_20260829_155441,20,all,expanding,9,0.05118324779266054,0.059856425190138556,0.03719091503493828,0.017549638894618247,16.22222222222222,0.08104251127706918
123,v5_4_repaired_h20_seed123_20260829_155441,20,all,expanding,9,0.06380849623716028,0.06516447117025159,0.03340618600189165,0.022152985940997162,21.77777777777778,0.07353059799369727
2026,v5_4_repaired_h20_seed2026_20260829_155710,20,all,expanding,9,0.06976679809432515,0.05392736297510768,0.032718074048445026,0.026916746705908816,11.88888888888889,0.08351559200712158
3407,v5_4_repaired_h20_seed3407_20260829_155704,20,all,expanding,9,0.052027450935591024,0.05973558634899861,0.03948583952181578,0.022021030902561984,12.555555555555555,0.08857652103376913
8765,v5_4_repaired_h20_seed8765_20260829_155704,20,all,expanding,9,0.05896879575788919,0.05944977418480751,0.04916236133170946,0.023854445312803247,15.222222222222221,0.0796957396982118
9999,v5_4_repaired_h20_seed9999_20260829_155714,20,all,expanding,9,0.039781327757641226,0.05197223424831837,0.048840585724951695,0.015027789240189264,20.11111111111111,0.08047991640362712
31415,v5_4_repaired_h20_seed31415_20260829_155915,20,all,expanding,9,0.05617698208447167,0.056118355047934054,0.029411875172217192,0.022144609675953733,12.555555555555555,0.08955801027155727
27182,v5_4_repaired_h20_seed27182_20260829_155915,20,all,expanding,9,0.057460655935997126,0.056538532811256426,0.035956603855453594,0.021534988622248744,12.666666666666666,0.08438819630210598
16180,v5_4_repaired_h20_seed16180_20260829_155920,20,all,expanding,9,0.058829859796752454,0.05261189136715057,0.031059196628106838,0.021112003948218723,21.11111111111111,0.08549565591780622
42424,v5_4_repaired_h20_seed42424_20260829_155945,20,all,expanding,9,0.04562068731245038,0.07159665619832009,0.06308099506393816,0.021298313514769143,9.88888888888889,0.0875838258454642
13579,v5_4_repaired_h20_seed13579_20260829_160125,20,all,expanding,9,0.04649325822835601,0.05965066960105255,0.03498337833756418,0.015862743833590803,11.333333333333334,0.0842071881128711
24680,v5_4_repaired_h20_seed24680_20260829_160126,20,all,expanding,9,0.06047688638072931,0.04505065920596735,0.0502258776995933,0.0237669750746375,14.11111111111111,0.08128158088102934
55555,v5_4_repaired_h20_seed55555_20260829_160149,20,all,expanding,9,0.06718666968965763,0.07061592313591646,0.034802897825154576,0.023637387880166894,19.444444444444443,0.07424378877294781
77777,v5_4_repaired_h20_seed77777_20260829_160153,20,all,expanding,9,0.06285464077830429,0.0682945770900953,0.033105801730803276,0.02461201993173982,14.11111111111111,0.07896355967593788
