year,horizon,seed,feature_set,train_window,train_rows,valid_rows,refit_rows,test_rows,best_epoch,best_valid_ic,test_ic,test_spread,refit_final_loss,clip_lo,clip_hi,run
2018,20,1,all,expanding,55678,10878,67585,12226,10,0.0396888176518455,0.0460076660248965,0.0159834731476542,0.6883278001438488,-0.1552808582782745,0.7390825152397156,v5_4b_repaired_h20_seed1_20260829_162139
2019,20,1,all,expanding,67585,11176,79790,12050,1,0.1121585167752931,-0.0429126195427237,-0.0106121936142139,0.8386903175940881,-0.1627968847751617,0.7242862582206726,v5_4b_repaired_h20_seed1_20260829_162139
2020,20,1,all,expanding,79790,11000,91840,12250,25,0.0543517169648795,0.1081872749099639,0.0339161833582555,0.6806620597839356,-0.1599200069904327,0.6954249143600464,v5_4b_repaired_h20_seed1_20260829_162139
2021,20,1,all,expanding,91840,11200,104090,12150,1,0.1208506259646715,0.0586427582747688,0.0433209349062792,0.7488321767133825,-0.1662531495094299,0.5463051795959473,v5_4b_repaired_h20_seed1_20260829_162139
2022,20,1,all,expanding,104090,11100,116240,12300,25,0.1020432322554475,0.0599521909011996,0.0182047615174001,0.6713389220990633,-0.175417959690094,0.5726451873779297,v5_4b_repaired_h20_seed1_20260829_162139
2023,20,1,all,expanding,116240,11250,128540,11950,25,0.0904099232573125,0.0829767697262169,0.0265090115704844,0.6756002846218291,-0.1767710298299789,0.4736236035823822,v5_4b_repaired_h20_seed1_20260829_162139
2024,20,1,all,expanding,128540,10900,140490,12100,40,0.0803599235374534,0.0386844273766731,0.0076835998476093,0.6562847106353097,-0.174796313047409,0.4286563694477081,v5_4b_repaired_h20_seed1_20260829_162139
2025,20,1,all,expanding,140490,11050,152590,12150,1,0.074950361114748,0.0592894935752078,0.0057236595325335,0.7828124356269837,-0.1791461855173111,0.3991438746452331,v5_4b_repaired_h20_seed1_20260829_162139
2026,20,1,all,expanding,152590,11100,164740,6900,1,0.1139006954133004,0.1352697333425546,0.0883640892080981,0.7664407579987137,-0.1806980967521667,0.3842253684997558,v5_4b_repaired_h20_seed1_20260829_162139
2018,20,7,all,expanding,55678,10878,67585,12226,10,0.0409567508178674,0.0534202189767497,0.0181460278304095,0.6865272738716819,-0.1552808582782745,0.7390825152397156,v5_4b_repaired_h20_seed7_20260829_162139
2019,20,7,all,expanding,67585,11176,79790,12050,25,0.0885469151057321,0.000138904052426,-0.0067668060398415,0.6803297675572909,-0.1627968847751617,0.7242862582206726,v5_4b_repaired_h20_seed7_20260829_162139
2020,20,7,all,expanding,79790,11000,91840,12250,1,0.1122705552555543,0.0126486512972535,0.0026364485087656,0.8351781686147054,-0.1599200069904327,0.6954249143600464,v5_4b_repaired_h20_seed7_20260829_162139
2021,20,7,all,expanding,91840,11200,104090,12150,20,0.1098053507117132,0.0504593489708884,0.0311608304295837,0.6808936069993412,-0.1662531495094299,0.5463051795959473,v5_4b_repaired_h20_seed7_20260829_162139
2022,20,7,all,expanding,104090,11100,116240,12300,5,0.0940556133932816,0.0679698568937372,0.0159834771016378,0.68922568936097,-0.175417959690094,0.5726451873779297,v5_4b_repaired_h20_seed7_20260829_162139
2023,20,7,all,expanding,116240,11250,128540,11950,25,0.0806707889915713,0.0559474194181232,0.0147635967675727,0.6759946374666124,-0.1767710298299789,0.4736236035823822,v5_4b_repaired_h20_seed7_20260829_162139
2024,20,7,all,expanding,128540,10900,140490,12100,1,0.0959408391114331,-0.0023321360398312,0.0067709400104627,0.7864291849343673,-0.174796313047409,0.4286563694477081,v5_4b_repaired_h20_seed7_20260829_162139
2025,20,7,all,expanding,140490,11050,152590,12150,30,0.0224505961134284,0.0685712309615204,0.0127994072816311,0.6752379417419434,-0.1791461855173111,0.3991438746452331,v5_4b_repaired_h20_seed7_20260829_162139
2026,20,7,all,expanding,152590,11100,164740,6900,15,0.1260084574370288,0.0851679562823343,0.0634513572021983,0.683947624983611,-0.1806980967521667,0.3842253684997558,v5_4b_repaired_h20_seed7_20260829_162139
2018,20,42,all,expanding,55678,10878,67585,12226,15,0.0439584484317792,0.063276601640528,0.0154064123851684,0.6840421069752086,-0.1552808582782745,0.7390825152397156,v5_4b_repaired_h20_seed42_20260829_162139
2019,20,42,all,expanding,67585,11176,79790,12050,20,0.0827781486301385,0.0337430328980207,-0.0015784287768758,0.683195187495305,-0.1627968847751617,0.7242862582206726,v5_4b_repaired_h20_seed42_20260829_162139
2020,20,42,all,expanding,79790,11000,91840,12250,20,0.0675266676194426,0.0727918269348555,0.0245621493279239,0.6836872259775798,-0.1599200069904327,0.6954249143600464,v5_4b_repaired_h20_seed42_20260829_162139
2021,20,42,all,expanding,91840,11200,104090,12150,35,0.1033120391013548,0.0562706377396993,0.0159847464994229,0.6683620565077838,-0.1662531495094299,0.5463051795959473,v5_4b_repaired_h20_seed42_20260829_162139
2022,20,42,all,expanding,104090,11100,116240,12300,25,0.0872409931665932,0.0682235860480354,0.0188030624040872,0.6768265084216469,-0.175417959690094,0.5726451873779297,v5_4b_repaired_h20_seed42_20260829_162139
2023,20,42,all,expanding,116240,11250,128540,11950,15,0.0989343256263972,0.0609719239343365,0.0198398220449285,0.6819854038102287,-0.1767710298299789,0.4736236035823822,v5_4b_repaired_h20_seed42_20260829_162139
