horizon,phase,calendar_anchor,model_source,feature_set,train_window,entry_k,exit_k,execution_delay,slippage_bps,periods,start,end,total_return,cagr,gross_total_return,market_total_return,market_cagr,ew_net_total_return,ew_net_cagr,active_sharpe,strategy_sharpe,rebalance_max_drawdown,mean_turnover,cost_sum,positive_alpha_years,years,worst_year,worst_year_alpha,alpha_cagr
20,0,0050.TW,v5_4_repaired,all,expanding,10,15,1,10,104,2018-01-03,2026-07-30,17.860119416105455,0.40879395022272824,28.165130757643677,4.966556711758205,0.23174769931628836,5.355326327237135,0.24085432632519832,0.7864918289678706,1.341691811159801,-0.25550389228999015,0.534582066163568,0.4349327988159368,8,9,2024,-0.46845236364609755,0.17704625090643988
20,1,0050.TW,v5_4_repaired,all,expanding,10,15,1,10,104,2018-01-04,2026-07-31,9.802488618301531,0.32009533187349426,16.016277459294596,5.3460992142059025,0.24064396140672195,5.611930926219176,0.24659910207509506,0.4066768277424887,1.1252278244594325,-0.2981942643107328,0.5570639434691459,0.4532870034482108,7,9,2024,-0.5384729916431605,0.07945137046677231
20,2,0050.TW,v5_4_repaired,all,expanding,10,15,1,10,103,2018-01-05,2026-07-06,15.949607477874206,0.3951989288089699,25.664640398387345,5.878561635800453,0.25472621689009234,5.655049845595135,0.24985844851574335,0.6172881867863964,1.3319381236400436,-0.23228881364923415,0.5610631495924085,0.45199760960294194,8,9,2024,-0.5279698396082226,0.14047271191887756
20,3,0050.TW,v5_4_repaired,all,expanding,10,15,1,10,103,2018-01-08,2026-07-07,17.673194008216765,0.411502618965532,27.86246933991157,5.82251131082919,0.25370140999007806,5.564506130557988,0.24802353767610152,0.6439096829630924,1.4264974738411682,-0.24484677348242045,0.539182383952402,0.43445591654471466,7,9,2024,-0.48239392923036384,0.1578012089754539
20,4,0050.TW,v5_4_repaired,all,expanding,10,15,1,10,103,2018-01-09,2026-07-08,11.70627014786033,0.34894546511306745,18.610086771722866,5.663526857682051,0.25022556656848827,5.496074756926355,0.2464845681002581,0.45463830904948443,1.3499056188433527,-0.2694386759917059,0.5373208247166417,0.43295075282464063,6,9,2024,-0.5200037505318271,0.09871989854457919
20,5,0050.TW,v5_4_repaired,all,expanding,10,15,1,10,103,2018-01-10,2026-07-09,24.028973486496728,0.4610394214961928,38.06903504482271,5.660394427112032,0.2501563509372642,5.586706145573174,0.24851975899709244,0.8856277250255749,1.6622827744855078,-0.22226159699739645,0.551287639136851,0.4442436206241009,8,9,2024,-0.32073165599342923,0.21088307055892863
20,6,0050.TW,v5_4_repaired,all,expanding,10,15,1,10,103,2018-01-11,2026-07-10,15.52203778983899,0.3913066700280057,24.72626164662426,5.661594851718907,0.2501828794667278,5.51666870144521,0.24694920885214056,0.6345141462287421,1.5004824853931245,-0.19248532339779856,0.5482393731471676,0.4417789451581426,7,9,2024,-0.40003273536380624,0.14112379056127788
20,7,0050.TW,v5_4_repaired,all,expanding,10,15,1,10,103,2018-01-12,2026-07-13,21.064711645651666,0.4391762323208126,33.669817567820175,5.745214740819338,0.2518392178680975,5.6988412387005125,0.2508234087622421,0.7216614411655365,1.4216520540837934,-0.213611371177293,0.5594210063746029,0.4508198547041852,8,9,2024,-0.44505021030418823,0.1873370144527151
20,8,0050.TW,v5_4_repaired,all,expanding,10,15,1,10,103,2018-01-15,2026-07-14,18.079247819367513,0.4150824749474282,28.548463691024004,5.571995537768222,0.24819110839146807,5.585895710191984,0.24850166987340128,0.6918325680234811,1.3939162126628533,-0.20599907849158694,0.5415851472810037,0.4363986708340556,7,9,2024,-0.42796481286439825,0.16689136655596015
20,9,0050.TW,v5_4_repaired,all,expanding,10,15,1,10,103,2018-01-16,2026-07-15,17.22158557705647,0.4074395601349572,27.670191258229774,5.551789948473182,0.2477386345007584,5.558507666282614,0.2478892041698706,0.6128591494902739,1.3997723177568655,-0.24164937155509925,0.5610746433412841,0.45215690287359545,7,9,2024,-0.5702530210617867,0.1597009256341988
20,10,0050.TW,v5_4_repaired,all,expanding,10,15,1,10,103,2018-01-17,2026-07-16,18.947335754584756,0.42251562928365494,30.132658220384467,5.554900269954187,0.247808365588154,5.603684931024705,0.2488982790223222,0.6782950387684804,1.3901935170300215,-0.23253069382701563,0.5511090834235441,0.44409924940210654,6,9,2024,-0.474270511228146,0.17470726369550094
20,11,0050.TW,v5_4_repaired,all,expanding,10,15,1,10,103,2018-01-18,2026-07-17,27.174534476379243,0.4815479931832387,43.141267833478075,5.338810466074718,0.24289287891125455,5.418123157315243,0.2447139717405793,0.8418406595363899,1.4625165450656374,-0.1977205906537629,0.5558261231401591,0.4479132118649758,6,9,2024,-0.36308644702001525,0.23865511427198416
20,12,0050.TW,v5_4_repaired,all,expanding,10,15,1,10,103,2018-01-19,2026-07-20,16.945126522646756,0.40460051976247513,27.290810624647946,5.111727165520392,0.23739540969225703,5.327802650414591,0.24246461978320055,0.6939986440647608,1.2917822968284196,-0.2367139135184695,0.5634846039669399,0.4541054765374692,7,9,2024,-0.4388011808277008,0.1672051100702181
20,13,0050.TW,v5_4_repaired,all,expanding,10,15,1,10,103,2018-01-22,2026-07-21,21.98566429424175,0.44646177206247306,35.20310109168947,5.080312576918571,0.23681465319137485,5.334077816541834,0.24278357850189813,0.8036562311412895,1.2768432436270372,-0.25939947249492457,0.5623073929646828,0.4531536425815942,7,9,2024,-0.37084476848154524,0.20964711887109821
20,14,0050.TW,v5_4_repaired,all,expanding,10,15,1,10,103,2018-01-23,2026-07-22,17.982640512691148,0.4142369022171466,28.856092102302494,5.288977921188589,0.24173836713302732,5.487436669117732,0.2462892885232979,0.6819489455460847,1.317548617805297,-0.291558061332731,0.5606100066376709,0.4517812208668887,7,9,2024,-0.4317245946938437,0.17249853508411928
20,15,0050.TW,v5_4_repaired,all,expanding,10,15,1,10,103,2018-01-24,2026-07-23,15.18770569633476,0.3879616805397066,24.103042377484392,5.277499056891873,0.24147128347278568,5.551517664427592,0.2477325287053922,0.7164360601628648,1.3632801544436,-0.2468338386250859,0.543204297206943,0.4377078345066738,8,9,2024,-0.4163423313390626,0.1464903970669209
20,16,0050.TW,v5_4_repaired,all,expanding,10,15,1,10,103,2018-01-25,2026-07-24,11.870191543709895,0.3509829844117547,19.458413769257625,5.228213191249583,0.24031960886338655,5.387750487920614,0.24401894537975743,0.5550643598074194,1.3302232059476837,-0.2653844239273635,0.5736901870650978,0.46235720075148473,7,9,2024,-0.4667065964986148,0.11066337554836814
20,17,0050.TW,v5_4_repaired,all,expanding,10,15,1,10,103,2018-01-26,2026-07-27,14.867163247086738,0.38440656063597634,23.85288062574174,5.138227150593356,0.23802553859773523,5.451493789071163,0.24529811502639132,0.7152930008407421,1.2722471626135379,-0.328824954610201,0.5554944727171024,0.4476450559154131,7,9,2024,-0.33656337228559496,0.1463810220382411
20,18,0050.TW,v5_4_repaired,all,expanding,10,15,1,10,103,2018-01-29,2026-07-28,11.019853317738107,0.3401532739020643,17.965900704821244,4.94213540128386,0.23347148707581034,5.288121510567156,0.2417184555129992,0.5448020136868001,1.1628780879413414,-0.29495530875240994,0.5645552922296153,0.4549711815322556,8,9,2024,-0.5490276015158404,0.10668178682625395
20,19,0050.TW,v5_4_repaired,all,expanding,10,15,1,10,103,2018-01-30,2026-07-29,19.759842009516316,0.4292186427025173,30.992180333123255,4.878174526934015,0.23190068802814223,5.301015421692018,0.24201798722270618,0.9007996405056876,1.3189624240042988,-0.251467722414912,0.5354750751909696,0.43145837204565846,8,9,2024,-0.40480895946325846,0.19731795467437507
