name,gpu,status
v4_h1_mlp_rank_seed123,1,0
v4_h1_mlp_rank_seed42,1,0
v4_h1_mlp_rank_seed1,0,0
v4_h1_mlp_rank_seed7,0,0
v4_h1_mlp_rank_seed3407,0,0
v4_h1_mlp_rank_seed8765,1,0
v4_h1_mlp_rank_seed2026,0,0
v4_h1_mlp_rank_seed9999,1,0
v4_h3_mlp_rank_seed123,1,0
v4_h3_mlp_rank_seed1,0,0
v4_h3_mlp_rank_seed7,0,0
v4_h3_mlp_rank_seed42,1,0
v4_h3_mlp_rank_seed9999,1,0
v4_h3_mlp_rank_seed3407,0,0
v4_h3_mlp_rank_seed8765,1,0
v4_h3_mlp_rank_seed2026,0,0
v4_h5_mlp_rank_seed123,1,0
v4_h5_mlp_rank_seed7,0,0
v4_h5_mlp_rank_seed42,1,0
v4_h5_mlp_rank_seed1,0,0
v4_h5_mlp_rank_seed3407,0,0
v4_h5_mlp_rank_seed9999,1,0
v4_h5_mlp_rank_seed2026,0,0
v4_h5_mlp_rank_seed8765,1,0
v4_h10_mlp_rank_seed7,0,0
v4_h10_mlp_rank_seed123,1,0
v4_h10_mlp_rank_seed1,0,0
v4_h10_mlp_rank_seed42,1,0
v4_h10_mlp_rank_seed3407,0,0
v4_h10_mlp_rank_seed9999,1,0
v4_h10_mlp_rank_seed2026,0,0
v4_h10_mlp_rank_seed8765,1,0
v4_h20_mlp_rank_seed7,0,0
v4_h20_mlp_rank_seed123,1,0
v4_h20_mlp_rank_seed42,1,0
v4_h20_mlp_rank_seed1,0,0
v4_h20_mlp_rank_seed9999,1,0
v4_h20_mlp_rank_seed3407,0,0
v4_h20_mlp_rank_seed8765,1,0
v4_h20_mlp_rank_seed2026,0,0
